,Name,Layer,ActiveNodeCount,ActiveEdgesCount,Modularity,ComponentsCount,Heterogeneity,_Layer
0,london,Underground,271,312,0.8322700936883629,1,1.1803911900065747,1
1,london,Overground,83,83,0.77616490056612,1,1.072289156626506,2
2,london,DLR,45,46,0.6947069943289225,1,1.0952268431001893,3
0,aireu,Lufthansa,106,244,0.24548172534264984,1,6.85289572695512,1
1,aireu,Ryanair,128,601,0.23234570225442344,1,2.5137471933909374,2
2,aireu,EasyJet,99,307,0.3009793207354985,1,3.1050090717142886,3
0,arxiv,physics.data-an,5465,14485,0.8588090187449493,508,2.505356582202269,1
1,arxiv,cond-mat.dis-nn,3506,7341,0.908415239104063,394,2.1281809979799506,2
2,arxiv,cond-mat.stat-mech,1451,2582,0.960251541836739,259,1.8229118979576773,3
0,drosophila,Direct,7356,23977,0.4509564772480985,57,3.5586544235336657,1
1,drosophila,Suppressive,839,1864,0.6293148704157369,37,3.715679194910571,2
2,drosophila,Additive,755,1425,0.6679443521083408,47,3.4475777162203753,3
3,drosophila,Physical association,2851,12818,0.7509614937266066,157,3.970003354937487,4
0,celegans,Electric,253,517,0.6501913658998313,3,2.162846207662866,1
1,celegans,Chemical Monadic,260,888,0.4984338223358494,2,1.7880803100397697,2
2,celegans,Chemical Polyadic,278,1703,0.4143661715414303,1,1.6677360148872031,3
