Layer,Nodes,Edges,Components,GCC,Degree Heterogeneity,Disconnected Components power-law fit,Network,Modularities
1,1594,3019,310,0.0809284818067754,1.5183848873223258,3.1879887058719665,arxiv,0.9823896047128289
2,5465,14485,508,0.6713632204940531,2.505356582202269,3.964530988352027,arxiv,0.8603373706555413
3,2956,6097,348,0.5199594046008119,1.9191562979870909,3.983450608319274,arxiv,0.9267916348484457
4,361,592,83,0.036011080332409975,1.2329854136230824,10.122176503023516,arxiv,0.9792332450693932
5,1605,4427,218,0.37881619937694705,3.3067456924516367,3.1955122201464623,arxiv,0.8938654923080467
6,3506,7341,394,0.6049629207073588,2.1281809979799506,3.6518261199087196,arxiv,0.9096098329863996
7,1451,2582,259,0.2315644383184011,1.8229118979576773,3.0888680724172617,arxiv,0.9604366402448926
8,1905,4423,264,0.3401574803149606,1.8258385541347109,3.1587107613190124,arxiv,0.9682384217618928
9,660,868,177,0.030303030303030304,1.4283192465331604,4.115962427121649,arxiv,0.9836878039457198
10,700,1145,179,0.10142857142857142,1.5505425144448048,5.261081348856489,arxiv,0.9685574264411417
11,1270,1953,232,0.31181102362204727,1.5576126006729045,3.462025135446919,arxiv,0.9567517144445955
12,4946,11600,588,0.5624747270521634,2.092327816587396,3.4188660424891464,arxiv,0.9104168549346012
13,377,494,100,0.05305039787798409,1.5564404432132966,4.822711292291222,arxiv,0.9654067432673885
1,253,517,3,0.9802371541501976,2.162846207662866,1.5740806409715078,celegans,0.6438611390667032
2,260,888,2,0.9923076923076923,1.7880803100397697,1.4115385191010674,celegans,0.4882156227173119
3,278,1703,1,1.0,1.6677360148872031,,celegans,0.4314209769020095
1,7356,23977,57,0.984910277324633,3.5586544235336657,5.239961503408037,drosophila,0.4530433319071218
2,839,1864,37,0.8963051251489869,3.715679194910571,4.166078052796099,drosophila,0.6470811881780828
3,755,1425,47,0.83841059602649,3.4475777162203753,4.069240925981413,drosophila,0.668059095106186
4,2851,12818,157,0.8575938267274641,3.970003354937487,4.038503394349183,drosophila,0.7630238944683082
5,85,71,29,0.16470588235294117,1.5006943066851814,4.859949303708913,drosophila,0.8975401706010713
6,72,66,14,0.2361111111111111,2.2644628099173554,2.625269342276013,drosophila,0.8194444444444443
7,12,7,5,0.25,1.1020408163265305,7.1657586559410795,drosophila,0.7755102040816326
1,271,312,1,1.0,1.1803911900065747,,london,0.8352286735700196
2,83,83,1,1.0,1.072289156626506,,london,0.7695601683843809
3,45,46,1,1.0,1.0952268431001893,,london,0.6937618147448015
